Date,BTC,ETH,XRP,USDT,BSV,BCH,LTC,EOS,BNB,ADA,BTCTOMORROW
43413,6385.62,210.07,0.5,0.99,68.75,544.42,51.9,5.38,9.55,0.07,6409.22
43414,6409.22,212.53,0.51,1,87.06,556.5,52.4,5.42,9.56,0.08,6411.27
43415,6411.27,211.34,0.51,0.99,113.47,533.34,51.36,5.44,9.47,0.08,6371.27
43416,6371.27,210.42,0.52,0.99,112.06,516.31,50.65,5.4,9.36,0.08,6359.49
43417,6359.49,206.83,0.51,0.99,208.4,512.41,49.7,5.23,9.25,0.07,5738.35
43418,5738.35,181.4,0.47,0.97,174.81,439.31,43.61,4.64,8.41,0.06,5648.03
43419,5648.03,180.81,0.48,0.98,93.7,421.32,43.95,4.69,8.18,0.06,5575.55
43420,5575.55,175.18,0.47,0.99,122.97,388.82,42.46,4.55,7.88,0.06,5554.33
43421,5554.33,174,0.49,0.99,130.48,387.75,41.93,4.57,7.72,0.06,5623.54
43422,5623.54,177.07,0.51,0.99,106.22,386.25,42.33,4.59,8,0.06,4871.49
43423,4871.49,149.18,0.48,0.98,72.11,336.96,36.64,4.08,6.63,0.05,4451.87
43424,4451.87,130.34,0.43,0.97,50.66,223.7,33.04,3.71,5.76,0.04,4602.17
43425,4602.17,136.7,0.45,0.99,50.75,235.95,34.67,3.81,6.2,0.05,4365.94
43426,4365.94,126.71,0.43,1,42.75,211.47,32.2,3.55,5.76,0.04,4347.11
43427,4347.11,123.3,0.41,0.98,54.03,207.43,32.16,3.6,5.56,0.04,3880.76
43428,3880.76,113.49,0.38,0.98,58.5,180.69,29.22,3.26,5.12,0.04,4009.97
43429,4009.97,116.45,0.37,0.98,87.38,184.58,30.89,3.35,5.18,0.04,3779.13
43430,3779.13,108.34,0.36,0.98,111.7,182.04,29.41,3.18,4.93,0.04,3820.72
43431,3820.72,110.01,0.36,0.98,91.94,179.06,31.07,3.03,4.91,0.04,4257.42
43432,4257.42,122.44,0.39,1,97.94,190.07,34.63,3.28,5.34,0.04,4278.85
43433,4278.85,117.54,0.38,1,98.07,180.98,33.8,3.02,5.35,0.04,4017.27
43434,4017.27,113.17,0.36,0.99,95.28,173.07,32.06,2.88,5.08,0.04,4214.67
43435,4214.67,118.64,0.37,1,93.54,172.12,34.34,2.96,5.29,0.04,4139.88
43436,4139.88,116.39,0.37,1,100.37,172.11,33.71,2.85,5.25,0.04,3894.13
43437,3894.13,108.93,0.35,1,94.46,159.82,31.07,2.59,5.11,0.04,3956.89
43438,3956.89,110.21,0.35,1,90.18,149.66,31.19,2.46,5.88,0.04,3753.99
43439,3753.99,102.48,0.34,0.99,86.31,130.54,29.3,2.2,5.98,0.03,3521.1
43440,3521.1,91.76,0.31,1,103.69,107.59,26.94,1.87,4.95,0.03,3419.94
43441,3419.94,93.29,0.3,1,103.88,106.85,25.27,1.74,4.53,0.03,3476.11
43442,3476.11,92.16,0.31,1.02,98.68,104.05,24.86,1.84,4.7,0.03,3614.23
43443,3614.23,95.14,0.31,1.02,97.42,109.62,25.95,2.03,4.86,0.03,3502.66
43444,3502.66,91.69,0.3,1.02,95.32,107.31,24.62,1.94,4.71,0.03,3424.59
43445,3424.59,88.95,0.3,1.01,90.24,102.07,23.8,1.85,4.94,0.03,3486.95
43446,3486.95,90.59,0.31,1.01,88.84,102.59,24.49,1.98,5.02,0.03,3313.68
43447,3313.68,86.54,0.3,1,78.37,90.3,23.67,1.85,4.65,0.03,3242.48
43448,3242.48,84.31,0.29,1,70.27,80.37,23.46,1.83,4.53,0.03,3236.76
43449,3236.76,84.44,0.29,1,68.14,77.37,23.78,1.9,4.56,0.03,3252.84
43450,3252.84,85.26,0.29,1.01,77.34,81.64,25.6,1.92,4.65,0.03,3545.86
43451,3545.86,95.13,0.33,1.01,81.7,90.35,29.27,2.4,5.11,0.03,3696.06
43452,3696.06,101.11,0.35,1.01,84.61,105.2,30.14,2.64,5.6,0.03,3745.95
43453,3745.95,101.27,0.35,1.02,86.51,128.45,29.68,2.5,5.49,0.03,4134.44
43454,4134.44,116.22,0.38,1.02,112.03,194.23,32.82,2.75,5.79,0.04,3896.54
43455,3896.54,109.5,0.36,1.02,108.42,194.3,30.8,2.62,5.57,0.04,4014.18
43456,4014.18,116.76,0.36,1.02,109.09,196.67,31.86,2.62,5.93,0.04,3998.98
43457,3998.98,130.77,0.37,1.02,106.97,197.66,33.46,2.82,6.06,0.04,4078.6
43458,4078.6,140.24,0.41,1.02,102.46,182.26,33.2,2.79,6.14,0.05,3815.49
43459,3815.49,129.84,0.38,1.02,93.45,170.91,31.13,2.52,5.55,0.04,3857.3
43460,3857.3,131.87,0.38,1.02,94.51,175.51,30.99,2.6,5.71,0.04,3654.83
43461,3654.83,116.58,0.34,1.02,84.87,150.13,28.29,2.32,5.28,0.04,3923.92
43462,3923.92,137.65,0.38,1.02,93.64,174,32.51,2.65,6.01,0.04,3820.41
43463,3820.41,138.02,0.37,1.03,89.43,165.06,31.57,2.63,5.83,0.04,3865.95
43464,3865.95,139.86,0.37,1.02,88.56,163.62,31.98,2.68,6,0.04,3742.7
43465,3742.7,133.37,0.35,1.01,84.96,151.05,30.47,2.57,6.16,0.04,3843.52
43466,3843.52,140.82,0.36,1.02,92.14,164.85,31.98,2.66,6.08,0.04,3943.41
43467,3943.41,155.05,0.38,1.02,94.88,171.83,33.43,2.89,6.19,0.05,3836.74
43468,3836.74,149.14,0.36,1.02,88.64,162.05,32.03,2.68,5.9,0.04,3857.72
43469,3857.72,154.58,0.36,1.02,87.65,161.4,32.4,2.72,6.07,0.04,3845.19
43470,3845.19,155.64,0.36,1.02,88.52,160.4,34.94,2.7,6.07,0.04,4076.63
43471,4076.63,157.75,0.37,1.02,90.38,166.84,39.3,2.88,6.4,0.05,4025.25
43472,4025.25,151.7,0.36,1.01,88.78,161.24,37.81,2.77,6.29,0.05,4030.85
43473,4030.85,150.36,0.37,1.02,87.58,161.91,39.48,2.8,6.64,0.05,4035.3
43474,4035.3,150.8,0.37,1.02,87.04,160.08,38.99,2.91,6.64,0.05,3678.92
43475,3678.92,128.63,0.33,1.02,75.92,134.97,33.87,2.44,5.92,0.04,3687.37
43476,3687.37,127.55,0.33,1.02,75.03,131.67,32.33,2.42,6.08,0.04,3661.3
43477,3661.3,125.97,0.33,1.02,82.8,134.38,32.38,2.43,5.98,0.04,3552.95
43478,3552.95,116.9,0.32,1.02,77.44,126.35,30.33,2.26,5.57,0.04,3706.05
43479,3706.05,129.07,0.33,1.02,80.37,133.98,32.36,2.48,6.16,0.04,3630.68
43480,3630.68,122.03,0.33,1.02,77.44,128.48,31.51,2.4,5.92,0.04,3655.01
43481,3655.01,123.55,0.33,1.02,78.2,129.17,31.82,2.45,6.19,0.04,3678.56
43482,3678.56,123.74,0.33,1.02,78.05,131.05,31.89,2.52,6.42,0.05,3657.84
43483,3657.84,121.01,0.32,1.02,75.96,128.46,31.31,2.47,6.56,0.04,3728.57
43484,3728.57,124.52,0.33,1.02,77.53,130.2,32.55,2.49,6.64,0.05,3601.01
43485,3601.01,119.47,0.32,1.02,75.34,123.89,31.18,2.37,6.49,0.04,3576.03
43486,3576.03,117.16,0.32,1.01,75.01,122.83,31.21,2.35,6.55,0.04,3604.58
43487,3604.58,118.75,0.32,1.01,75.93,128.44,31.68,2.45,6.52,0.04,3585.12
43488,3585.12,117.45,0.32,1.01,75.54,132.32,32,2.44,6.54,0.04,3600.87
43489,3600.87,117.36,0.32,1.01,74.52,129.4,32.78,2.45,6.51,0.04,3599.77
43490,3599.77,116.38,0.32,1.01,74.74,128.37,32.98,2.45,6.74,0.04,3602.46
43491,3602.46,116.49,0.31,1.01,73.97,127.14,33.15,2.44,7.01,0.04,3583.97
43492,3583.97,113.41,0.31,1.01,71.83,122.9,32.59,2.38,7.09,0.04,3470.45
43493,3470.45,106.59,0.29,1.01,64.99,112.5,31.2,2.25,6.21,0.04,3448.12
43494,3448.12,105.6,0.29,1.01,63.54,111.09,31.1,2.28,6.18,0.04,3486.18
43495,3486.18,108.91,0.32,1.01,66.38,118.38,31.93,2.34,6.17,0.04,3457.79
43496,3457.79,107.06,0.31,1.01,63.98,114.81,31.65,2.32,6.27,0.04,3487.95
43497,3487.95,107.61,0.31,1.01,64.35,116.56,32.83,2.34,6.56,0.04,3521.06
43498,3521.06,110.43,0.31,1,65.75,121.79,34.39,2.43,6.89,0.04,3464.01
43499,3464.01,107.49,0.3,1,63.72,118.83,33.44,2.38,6.74,0.04,3459.15
43500,3459.15,107.82,0.3,1,63,119.12,34.11,2.4,7.1,0.04,3466.36
43501,3466.36,107.44,0.3,1,60.94,117.71,34.26,2.39,7.82,0.04,3413.77
43502,3413.77,104.92,0.29,1,62.89,115.33,32.93,2.35,8.09,0.04,3399.47
43503,3399.47,104.54,0.29,1,62.5,115.15,33.22,2.35,7.73,0.04,3666.78
43504,3666.78,119.27,0.31,1,67.34,130.86,43.46,2.72,8.58,0.04,3671.2
43505,3671.2,119.43,0.31,1,66.09,128.64,44.79,2.78,8.87,0.04,3690.19
43506,3690.19,124.81,0.31,1,66.61,127.59,46.83,2.84,9.21,0.04,3648.43
43507,3648.43,121.3,0.3,1,64.98,122.51,43.18,2.76,9.55,0.04,3653.53
43508,3653.53,122.57,0.31,1,65.5,123.45,43.93,2.95,9.34,0.04,3632.07
43509,3632.07,122.55,0.3,1,64.55,123.15,42,2.88,8.94,0.04,3616.88
43510,3616.88,121.39,0.3,1.01,62.7,121.65,41.64,2.75,8.78,0.04,3620.81
43511,3620.81,122.1,0.3,1,62.4,121.96,42.7,2.8,9.27,0.04,3629.79
43512,3629.79,123.26,0.3,1,62.29,122.36,43.59,2.82,9.13,0.04,3673.84
43513,3673.84,133.6,0.3,1,62.87,124.69,43.93,2.88,9.22,0.04,3915.71
43514,3915.71,146.1,0.32,1.01,67.65,144.41,48.04,3.47,9.63,0.05,3947.09
43515,3947.09,145.35,0.32,1.01,67.09,143.3,47.86,3.57,10.56,0.05,3999.82
43516,3999.82,149.55,0.33,1.01,67.5,148.05,51.79,3.92,10.97,0.05,3954.12
43517,3954.12,146.13,0.32,1,65.39,142.93,49.15,3.81,10.49,0.04,4005.53
43518,4005.53,149.09,0.32,1.01,65.96,145.11,49.81,3.89,10.84,0.05,4142.53
43519,4142.53,158.8,0.33,1.01,68.74,153.26,51.68,4.27,10.78,0.05,3810.43
43520,3810.43,135.85,0.3,1.01,61.2,130.27,44.68,3.59,10.11,0.04,3882.7
43521,3882.7,139.82,0.33,1.02,68.39,135.87,46.21,3.59,9.84,0.04,3854.36
43522,3854.36,138.09,0.32,1.01,74.58,134.26,45.49,3.47,9.52,0.04,3851.05
43523,3851.05,136.13,0.31,1.01,67.86,132.79,45.58,3.53,9.9,0.04,3854.79
43524,3854.79,136.75,0.32,1.01,67.32,132.19,46.24,3.54,10.37,0.04,3859.58
43525,3859.58,136.44,0.32,1.01,67,132.96,47.49,3.52,11.39,0.04,3864.42
43526,3864.42,134.21,0.32,1.01,66.91,132.54,49.02,3.52,11.87,0.04,3847.18
43527,3847.18,132.25,0.31,1.01,65.41,131.56,48.38,3.55,11.54,0.04,3761.56
43528,3761.56,127.77,0.31,1.01,63.46,125.12,46.43,3.28,11.55,0.04,3896.38
43529,3896.38,137.82,0.32,1.01,67.28,132.51,53.13,3.78,13.81,0.04,3903.94
43530,3903.94,138.79,0.32,1.01,66.91,133.27,55.78,3.77,14.52,0.04,3911.48
43531,3911.48,138.03,0.31,1.01,66.86,132.16,57.19,3.79,15.15,0.04,3901.13
43532,3901.13,135.13,0.31,1.01,65.57,129.47,56.1,3.63,14.37,0.04,3963.31
43533,3963.31,137.97,0.31,1.01,66.77,133.82,58.09,3.77,14.57,0.05,3951.6
43534,3951.6,136.76,0.31,1.01,66.81,132.84,57.18,3.74,14.49,0.05,3905.23
43535,3905.23,133.83,0.31,1.01,65.29,130.2,55.42,3.6,14.51,0.05,3909.16
43536,3909.16,134.44,0.31,1.01,65.84,128.95,57,3.66,15.41,0.05,3906.72
43537,3906.72,133.26,0.31,1.01,64.98,128.93,55.93,3.62,15.12,0.05,3924.37
43538,3924.37,133.71,0.31,1.01,66.27,133.9,56.58,3.61,15.05,0.05,3960.91
43539,3960.91,137.69,0.32,1.01,67.69,143.99,58.99,3.72,15.08,0.05,4048.73
43540,4048.73,142.4,0.32,1.01,68.98,157.58,61.84,3.83,16.12,0.05,4025.23
43541,4025.23,140,0.32,1.01,68.47,156.08,61.24,3.78,15.76,0.05,4032.51
43542,4032.51,139.37,0.32,1.01,67.27,162.49,60.26,3.75,15.68,0.05,4071.19
43543,4071.19,140.52,0.32,1.01,67.12,162.43,60.62,3.78,15.69,0.05,4087.48
43544,4087.48,140.69,0.32,1.01,66.85,160.53,60.85,3.75,15.28,0.05,4029.33
43545,4029.33,136.64,0.31,1.01,65.94,154.77,59.38,3.67,14.52,0.05,4023.97
43546,4023.97,137.18,0.31,1.01,66.64,158.34,59.82,3.65,15.27,0.06,4035.83
43547,4035.83,138.24,0.31,1.01,67.37,167.41,61.35,3.69,15.24,0.06,4022.17
43548,4022.17,136.99,0.31,1.01,65.92,165.94,60.22,3.66,17.29,0.06,3963.07
43549,3963.07,135.03,0.3,1.01,64.4,161.62,59.5,3.68,16.84,0.06,3985.08
43550,3985.08,135.46,0.31,1.01,64.43,161.44,59.34,3.76,16.34,0.06,4087.07
43551,4087.07,140.99,0.31,1.01,66.03,173.18,62.25,4.32,16.78,0.07,4069.11
43552,4069.11,139.42,0.31,1.01,64.68,169.45,61.17,4.27,16.81,0.07,4098.37
43553,4098.37,142.5,0.31,1,64.36,170.45,61.3,4.28,16.51,0.07,4106.66
43554,4106.66,142.09,0.31,1,65.02,168.59,60.62,4.14,16.93,0.07,4105.4
43555,4105.4,141.51,0.31,1,64.98,168.94,60.76,4.18,17.4,0.07,4158.18
43556,4158.18,141.83,0.31,1,66.08,167.63,60.68,4.2,17.95,0.07,4879.88
43557,4879.88,163.96,0.35,1.01,78.83,236.13,76.19,5.03,19.79,0.09,4973.02
43558,4973.02,161.46,0.34,1.01,82.05,298.35,84.92,5.22,18.75,0.09,4922.8
43559,4922.8,158.05,0.33,1.01,83,286.57,84.98,5.08,19.14,0.09,5036.68
43560,5036.68,165.51,0.36,1.01,84.32,292.64,88.68,5.34,19.45,0.09,5059.82
43561,5059.82,165.95,0.35,1,84.66,306.07,92.57,5.35,19.12,0.09,5198.9
43562,5198.9,174.53,0.36,1,86.41,319.6,92.31,5.46,19.11,0.09,5289.77
43563,5289.77,180.26,0.36,1.01,83.16,310.16,89.49,5.55,18.11,0.09,5204.96
43564,5204.96,176.11,0.35,1.01,78.65,296.04,86.79,5.56,18.44,0.08,5324.55
43565,5324.55,177.34,0.35,1,80.07,305.22,88.38,5.84,18.25,0.09,5064.49
43566,5064.49,165.5,0.33,1.01,71.75,272.71,79.68,5.34,17.7,0.08,5089.54
43567,5089.54,164.74,0.33,1.01,71.45,282.85,78.96,5.38,18.43,0.08,5096.59
43568,5096.59,164.51,0.33,1.01,69.96,279.47,78.22,5.34,18.72,0.08,5167.72
43569,5167.72,167.84,0.33,1.01,71.05,288.65,82.94,5.55,19.49,0.08,5067.11
43570,5067.11,161.57,0.32,1,59.29,314.12,79.05,5.38,19.4,0.08,5235.56
43571,5235.56,167.62,0.33,1.01,57.47,318.31,81.35,5.55,19.83,0.08,5251.94
43572,5251.94,166.95,0.34,1.01,55.34,310.8,79.33,5.46,19.6,0.08,5298.39
43573,5298.39,173.81,0.34,1,59.49,306.96,82.07,5.5,22.04,0.08,5303.81
43574,5303.81,173.71,0.33,1.01,59.4,306.81,82.57,5.49,24.48,0.08,5337.89
43575,5337.89,173.75,0.33,1.01,58.75,300.75,81.51,5.47,25.01,0.08,5314.53
43576,5314.53,170.05,0.32,1.01,56.63,290.48,77.33,5.25,24.19,0.07,5399.37
43577,5399.37,171.87,0.32,1.01,57.81,292.81,76.95,5.25,23.91,0.08,5572.36
43578,5572.36,171.45,0.32,1.01,56.33,291.17,74.85,5.18,22.88,0.07,5464.87
43579,5464.87,165.83,0.3,1.01,54.1,278.94,73.31,4.81,23.13,0.07,5210.52
43580,5210.52,154.46,0.29,0.99,51.4,266.85,71.25,4.59,22.24,0.07,5279.35
43581,5279.35,156.35,0.3,0.99,53.84,263.88,73.12,4.74,22.87,0.07,5268.29
43582,5268.29,158.43,0.3,0.99,54.5,263.94,72.12,4.71,22.34,0.07,5285.14
43583,5285.14,157.3,0.3,0.99,54.28,255.47,69.73,4.72,22.9,0.07,5247.35
43584,5247.35,155.2,0.29,1,52.75,236.61,67.96,4.53,21.71,0.06,5350.73
43585,5350.73,162.17,0.31,1.01,54.19,267.76,74.28,4.83,22.13,0.07,5402.7
43586,5402.7,160.82,0.3,1,53.53,271.82,73.66,4.78,21.95,0.07,5505.28
43587,5505.28,162.12,0.3,1,53.14,270.18,73.78,4.79,23.59,0.07,5768.29
43588,5768.29,167.95,0.31,1,54.16,293.01,79.33,5.09,23.75,0.07,5831.17
43589,5831.17,164.03,0.3,1,53.57,291.49,78.06,4.96,22.88,0.07,5795.71
43590,5795.71,163.45,0.3,1,53.66,293.95,75.98,4.9,23.02,0.07,5746.81
43591,5746.81,172.65,0.3,1,52.84,287.66,74.98,4.9,22.21,0.07,5829.5
43592,5829.5,169.8,0.3,1,52.8,286.73,74.69,4.87,20.86,0.06,5982.46
43593,5982.46,170.95,0.3,1,59.09,286.3,74.62,4.9,20.75,0.06,6174.53
43594,6174.53,170.29,0.3,1,56.74,284.19,74.18,4.85,18.83,0.06,6378.85
43595,6378.85,173.14,0.3,1,57.87,287.73,77.17,4.83,19.6,0.06,7204.77
43596,7204.77,194.3,0.32,1,60.97,356.37,89.22,5.53,21.05,0.08,6972.37
43597,6972.37,187.33,0.31,1,57.75,354.03,84.57,5.32,20.83,0.07,7814.92
43598,7814.92,196.85,0.33,1.01,60.46,384.48,88.06,5.58,23.81,0.07,7994.42
43599,7994.42,217.15,0.41,1,60.23,388.96,91.62,6.05,23.63,0.08,8205.17
43600,8205.17,247.15,0.46,1,72.74,402.93,101.74,6.48,26.89,0.09,7884.91
43601,7884.91,264.01,0.42,1,64.77,398.7,95.59,6.5,26.33,0.09,7343.9
43602,7343.9,243.76,0.39,1,60.32,364.85,89,6.02,25.68,0.08,7271.21
43603,7271.21,234.6,0.37,1,59.57,357.62,86.7,5.89,28.4,0.08,8197.69
43604,8197.69,261.29,0.42,1.01,65.58,421.49,95.32,6.49,29.41,0.09,7978.31
43605,7978.31,251.86,0.4,1,63.15,412.81,91.49,6.25,29.31,0.08,7963.33
43606,7963.33,255.22,0.4,1.01,104.28,417.55,91.51,6.29,32.01,0.08,7680.07
43607,7680.07,244.7,0.38,1,104.71,392.51,88.21,5.97,31.42,0.08,7881.85
43608,7881.85,245.97,0.38,1,101.76,405.84,89.18,6.05,31.52,0.08,7987.37
43609,7987.37,249.48,0.38,1,99.07,409.05,99.9,6.4,33.84,0.08,8052.54
43610,8052.54,251.76,0.39,1,92.84,406.74,102.67,6.39,35.05,0.08,8673.22
43611,8673.22,267.07,0.41,1.01,106.08,432.84,111.42,6.91,34.1,0.09,8805.78
43612,8805.78,272.86,0.43,1,117.05,443.8,118.03,7.98,33.68,0.09,8719.96
43613,8719.96,271.77,0.45,1,121.72,435,114.93,8.05,33.36,0.09,8659.49
43614,8659.49,269.46,0.44,1,201.17,454.12,115.08,7.98,33.74,0.09,8319.47
43615,8319.47,255.86,0.42,1,184.7,424.62,108.8,7.37,32.29,0.08,8574.5
43616,8574.5,268.11,0.44,1,195.79,445.07,114.54,8.51,32.75,0.09,8564.02
43617,8564.02,265.39,0.43,1,189.04,434.46,112.62,7.78,33.01,0.09,8742.96
43618,8742.96,270.23,0.44,1,191.97,443.77,114.7,7.77,33.17,0.1,8208.99
43619,8208.99,252.61,0.43,1,221,408.66,107.47,6.8,31.39,0.09,7707.77
43620,7707.77,241.34,0.4,1,229.24,382.66,102.09,6.31,29.38,0.08,7824.23
43621,7824.23,247.05,0.4,1.01,217.81,398.38,103.85,6.45,31.01,0.08,7822.02
43622,7822.02,249.47,0.42,1,200.28,396.93,111.11,6.39,31.48,0.08,8043.95
43623,8043.95,250.93,0.42,1.01,203.98,401.43,117.37,6.66,31.59,0.09,7954.13
43624,7954.13,245.74,0.41,1,195.44,394.24,118.55,6.41,32.07,0.08,7688.08
43625,7688.08,233.09,0.39,1,185.37,381.17,115.13,6.17,30.56,0.08,8000.33
43626,8000.33,247.52,0.4,1.01,192.39,394.58,129.07,6.42,32.06,0.09,7927.71
43627,7927.71,245.78,0.39,1.01,186.25,387.91,136.03,6.34,32.26,0.09,8145.86
43628,8145.86,260.9,0.4,1,189.5,396.38,135.65,6.44,34.69,0.1,8230.92
43629,8230.92,256.17,0.4,1,213.06,411.94,131.35,6.46,35.14,0.09,8693.83
43630,8693.83,264.09,0.41,1.01,215.72,421.29,133.05,6.59,33.08,0.09,8838.38
43631,8838.38,269.02,0.41,1.01,209.91,422.83,138.13,6.9,32.83,0.09,8994.49
43632,8994.49,269.22,0.43,1,212.17,428.32,137.12,6.99,32.4,0.09,9320.35
43633,9320.35,274.35,0.45,1,225.35,432.52,134.44,7.13,33.92,0.09,9081.76
43634,9081.76,265.05,0.43,1,222.5,413.94,135.16,6.8,34.34,0.09,9273.52
43635,9273.52,269.43,0.44,1,224.39,416.91,136.6,6.87,35.29,0.09,9527.16
43636,9527.16,271.7,0.43,1,217.44,413.56,135.48,6.84,36.73,0.09,10144.56
